district_name,population
SALPETRIERE,18246
GARE,69008
MAISON BLANCHE,64797
CROULEBARBE,19526
BELLEVILLE,35773
SAINT FARGEAU,42087
PERE LACHAISE,42332
CHARONNE,62901
GAILLON,1345
VIVIENNE,2917
MAIL,5783
BONNE NOUVELLE,9595
SAINT VINCENT DE PAUL,21624
PORTE SAINT DENIS,15066
PORTE SAINT MARTIN,23125
HOPITAL SAINT LOUIS,29870
SAINT LAMBERT,82032
NECKER,46932
GRENELLE,47411
JAVEL,49092
FOLIE MERICOURT,33002
SAINT AMBROISE,32168
ROQUETTE,47520
SAINTE MARGUERITE,36476
SAINT GEORGES,20850
CHAUSSEE D'ANTIN,3488
FAUBOURG MONTMARTRE,9233
ROCHECHOUART,22212
ARTS ET METIERS,9560
ENFANTS ROUGES,8562
ARCHIVES,8609
SAINT AVOYE,7501
AUTEUIL,67967
MUETTE,45214
PORTE DAUPHINE,27423
CHAILLOT,21213
SAINT MERRI,6523
SAINT GERVAIS,10587
ARSENAL,9474
NOTRE DAME,4087
SAINT GERMAIN L'AUXERROIS,1672
HALLES,8984
PALAIS ROYAL,3195
PLACE VENDOME,3044
BEL AIR,33976
PICPUS,62947
BERCY,13987
QUINZE VINGTS,25752
VILLETTE,53650
PONT DE FLANDRE,24584
AMERIQUE,55365
COMBAT,38988
CHAMPS ELYSEES,4614
FAUBOURG DU ROULE,10038
MADELEINE,6045
EUROPE,18606
MONTPARNASSE,18570
PARC DE MONTSOURIS,19793
PETIT MONTROUGE,37230
PLAISANCE,57229
TERNES,39137
PLAINE MONCEAU,38958
BATIGNOLLES,38691
EPINETTES,44352
SAINT THOMAS D'AQUIN,12661
INVALIDES,6276
ECOLE MILITAIRE,12895
GROS CAILLOU,25156
SAINT VICTOR,11661
JARDIN DES PLANTES,18005
VAL DE GRACE,19492
SORBONNE,9683
GRANDES CARRIERES,67152
CLIGNANCOURT,64868
GOUTTE D'OR,28524
LA   CHAPELLE,24037
MONNAIE,6185
ODEON,8833
NOTRE DAME DES CHAMPS,24731
SAINT GERMAIN DES PRES,5154
